faust_number,isbn,book_title,book_author
51939239,,Pigen fra Napoli,Lucinda Riley
134877804,,Blodmånen,Jo Nesbø
52668859,,Nomernes vilde væddeløb,Jan Kjær (f. 1971)
53322379,,Derfor forelsker du dig aldrig i den forkerte,Jytte Vikkelsøe
46992334,,Dødfunden,Gretelise Holm (f. 1946)
39163047,,Den sidste kamelia,Sarah Jio
05575907,,Folk og røvere i Kardemomme by,Thorbjørn Egner
52905621,9788711735497,Hvis der skulle komme et menneske forbi,Thomas Korsgaard (f. 1995)
47370175,9788711981528,Sallys far kringler julen,Thomas Brunstrøm
48588727,,Et særligt sted,Marcia Willett
29570442,,Wimpy Kid. Bind 2,Jeff Kinney
28720130,9788702114553,Vi har det dejligt i Bulderby,Astrid Lindgren
46536827,,Mørkeland,Niels Krause-Kjær
48039111,9788726084207,Fårking gravid,Sofie Linde (f. 1989)
52090415,9788711324950,Savnet,Michael Katz Krefeld
46621794,,Villads fra Valby får nye ideer,Anne Sofie Hammer (f. 1972-02-05)
62005831,,De fire vinde,Kristin Hannah
47683866,,Familiens synder,Cara Hunter
28939876,,Mimbo Jimbo laver kunst,Jakob Martin Strid
62485124,,Den der dræbte helvedes engle,Jan Guillou
48671586,,For barnets bedste,"Line Holm,Stine Bolther"
53530885,,I ly for regnen,Jojo Moyes
54167830,,Blomstrende syrener,Martha Hall Kelly
48925758,,Fandens forår,Niels Krause-Kjær
62825553,,Kult,"Camilla Läckberg,Henrik Fexeus"
38915894,,Alle lyver,Camilla Grebe
46506294,,Min mor var besat,Peter Øvig Knudsen
46608755,,Huset i Buckley Street,Marcia Willett
39091941,,Den sidste boghandel i London,Madeline Martin
38898205,,Kvinden der samlede verden,Eva Tind
54791143,,Huset på klippen,Elly Griffiths
45932257,9788711909621,Verdens 100 farligste dyr,Sebastian Klein
38620991,,Løgn i din hals,Lars Kjædegaard
51214676,,Lasse-Leif og mormors nej-hat,Mette Finderup
38573977,,Den kinesiske tvilling,Sarah Engell
62485019,,Mit menneske,Herbjørg Wassmo
52574269,,21 helbredende dage med antiinflammatorisk kost,"Louise Bruun (f. 1975),Jerk W. Langer"
28424671,,Mimbo Jimbo,Jakob Martin Strid
48148085,,Sommer i Paris,Sarah Morgan (f. 1948)
53430260,,Som pesten,Hanne-Vibeke Holst
52799171,,Superhelte-flunkerne,"Joaquín Cera,Juan Carlos Ramis"
48839789,,Ustyrligt blod,Robert Galbraith
48628761,,Løbeklubben i Saudi,Lotte Garbers
47875668,,Vanæret,Linda Castillo
50973018,9788763834339,De hvide mænd,Kenneth Bøgh Andersen
53071066,,Flunkerne i middelalderen,"Joaquín Cera,Juan Carlos Ramis"
52286980,,Nomernes hemmelige beskytter,Jan Kjær (f. 1971)
52957176,,Vitello,Kim Fupz Aakeson
48152392,,Jeg tog ned til bror,Karin Smirnoff (f. 1964)
48779743,,Villads fra Valby bygger en robot,Anne Sofie Hammer (f. 1972-02-05)
05092973,,Karius og Baktus,Thorbjørn Egner
29363153,9788711394267,Bamse slut prut godnat,Katrine Hauch-Fausbøll
62969288,,Teenageren fra Thy,Maria Helleberg
47822319,,Friheden,Arne Dahl (f. 1963)
46913116,,Turen går til Hamburg & Nordtyskland,Jytte Flamsholt Christensen
48254829,,Næste!,Nina Lykke (f. 1965)
38485032,,Vi tog op med mor,Karin Smirnoff (f. 1964)
48136028,,Kane og Abel,Jeffrey Archer
46101987,,Men der kommer en time,Jeffrey Archer
